PROPERTY,REP_FIRM,ADVERTISER_NAME,ADVERTISER_GUID,YEAR_NUMBER,MONTH_NUMBER,DEMOGRAPHIC,ORDER_TYPE,CASH_OR_TRADE,AGENCY_NAME,AGENCY_GUID,SALES_OFFICE_NAME,AE_CODE,SALES_PERSON,PARENT_PRODUCT_CODE_NAME,PRODUCT_CODE_NAME,DEV_TYPE,PROGRAM_TYPE,CALENDAR_TYPE,SHARE_OF_ORDER,ORDER_NUMBER,CORE_ADVERTISER_MID,CORE_ADVERTISER_TOP,NET_AMOUNT,GROSS_AMOUNT
KEUS,UNIVISION - AFFILIATE,McDonald's (A),00000000-0000-0000-0000-000000000000,2026,6,Adults 25-54,Time Sale - General,C,Moroch & Associates,73efd061-886e-4233-b023-e2ae0d3e8eb2,MM - National DFW,CPOEH,Christopher Poehler,Restaurants - Quick Serve,Fast Food,,,CALENDAR,0,25040760,,,104.98,123.5
KBZO,UNIVISION - AFFILIATE,Ford Dealers Association,0559cc81-ef81-4926-899c-e64bdf7a7b28,2026,5,Adults 25-54,Time Sale - General,C,Global Team Blue,48190d86-2c05-49ac-ac79-bb1c8f194e8c,Holding Company - DFW,RCDIA,Crystal Diaz,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Domestic,,,BROADCAST,0,25040758,,,6124.25,7205
KBZO,UNIVISION - AFFILIATE,Ford Dealers Association,0559cc81-ef81-4926-899c-e64bdf7a7b28,2026,5,Adults 25-54,Time Sale - General,C,Global Team Blue,48190d86-2c05-49ac-ac79-bb1c8f194e8c,Holding Company - DFW,RCDIA,Crystal Diaz,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Domestic,,,CALENDAR,0,25040758,,,6124.25,7205
KUNW,UNIVISION - AFFILIATE,"T-Mobile USA, Inc.",825038fc-f698-48bd-8744-c65c6b3fcb07,2026,4,Adults 18-49,Time Sale - General,C,"Initiative Media, LLC",a44bf7bc-0153-405b-8a50-a3a55fea2e41,Holding Company - LAX,TCJOU,Christine Joubert,Telecommunications,Cellular,,,BROADCAST,0,25040761,,,3155.2,3712
KUNW,UNIVISION - AFFILIATE,"T-Mobile USA, Inc.",825038fc-f698-48bd-8744-c65c6b3fcb07,2026,4,Adults 18-49,Time Sale - General,C,"Initiative Media, LLC",a44bf7bc-0153-405b-8a50-a3a55fea2e41,Holding Company - LAX,TCJOU,Christine Joubert,Telecommunications,Cellular,,,CALENDAR,0,25040761,,,3155.2,3712
KVER,UNIVISION - AFFILIATE,The Celebration Company,98e5035c-9d1f-45fd-8bb5-097cbf368468,2026,4,Adults 25-54,Time Sale - General,C,Zenith Media,c9f31bfc-47f4-4a24-86b7-afef61fa2a3b,Holding Company - LAX,TKHER,Keith Herbers,Media & Entertainment,Amusement Parks & Fairs,,,BROADCAST,0,25040762,,,6282.35,7391
KVER,UNIVISION - AFFILIATE,The Celebration Company,98e5035c-9d1f-45fd-8bb5-097cbf368468,2026,4,Adults 25-54,Time Sale - General,C,Zenith Media,c9f31bfc-47f4-4a24-86b7-afef61fa2a3b,Holding Company - LAX,TKHER,Keith Herbers,Media & Entertainment,Amusement Parks & Fairs,,,CALENDAR,0,25040762,,,6282.35,7391
KDTF,UNIVISION - AFFILIATE,The Celebration Company,98e5035c-9d1f-45fd-8bb5-097cbf368468,2026,4,Adults 25-54,Time Sale - General,C,Zenith Media,c9f31bfc-47f4-4a24-86b7-afef61fa2a3b,Holding Company - LAX,TKHER,Keith Herbers,Media & Entertainment,Amusement Parks & Fairs,,,BROADCAST,0,25040763,,,252.45,297
KDTF,UNIVISION - AFFILIATE,The Celebration Company,98e5035c-9d1f-45fd-8bb5-097cbf368468,2026,4,Adults 25-54,Time Sale - General,C,Zenith Media,c9f31bfc-47f4-4a24-86b7-afef61fa2a3b,Holding Company - LAX,TKHER,Keith Herbers,Media & Entertainment,Amusement Parks & Fairs,,,CALENDAR,0,25040763,,,252.45,297
KINC,UNIVISION - AFFILIATE,"Stihl, Inc.",37a05521-231c-407f-b22e-9f7dc0cbfbb8,2026,3,Men 35-64,Time Sale - General,C,Global Media Works,00000000-0000-0000-0000-000000000000,MM - National SFO,KNAVA,Karina Nava,Household Products,Home Improvement Products,,,BROADCAST,0,25040765,,,2754,3240
KINC,UNIVISION - AFFILIATE,"Stihl, Inc.",37a05521-231c-407f-b22e-9f7dc0cbfbb8,2026,3,Men 35-64,Time Sale - General,C,Global Media Works,00000000-0000-0000-0000-000000000000,MM - National SFO,KNAVA,Karina Nava,Household Products,Home Improvement Products,,,CALENDAR,0,25040765,,,2754,3240
WUVF,UNIVISION - AFFILIATE,"Southeast Toyota Distributors, LLC",fcf40c22-c970-448e-a1ce-ae2701b6cc07,2026,6,Adults 35-64,Time Sale - General,C,"C-Com Group, Inc.",bc43ca48-3c8c-4c85-97d9-28152c7d9cb7,MM - National MIA,RAGON,Andrew Gonzalez,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,BROADCAST,0,25040766,,,3366,3960
WUVF,UNIVISION - AFFILIATE,"Southeast Toyota Distributors, LLC",fcf40c22-c970-448e-a1ce-ae2701b6cc07,2026,6,Adults 35-64,Time Sale - General,C,"C-Com Group, Inc.",bc43ca48-3c8c-4c85-97d9-28152c7d9cb7,MM - National MIA,RAGON,Andrew Gonzalez,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,CALENDAR,0,25040766,,,3366,3960
WUVF,UNIVISION - AFFILIATE,"Southeast Toyota Distributors, LLC",fcf40c22-c970-448e-a1ce-ae2701b6cc07,2026,6,Adults 35-64,Time Sale - General,C,"C-Com Group, Inc.",bc43ca48-3c8c-4c85-97d9-28152c7d9cb7,MM - National MIA,RAGON,Andrew Gonzalez,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,BROADCAST,0,25040767,,,4233,4980
WUVF,UNIVISION - AFFILIATE,"Southeast Toyota Distributors, LLC",fcf40c22-c970-448e-a1ce-ae2701b6cc07,2026,6,Adults 35-64,Time Sale - General,C,"C-Com Group, Inc.",bc43ca48-3c8c-4c85-97d9-28152c7d9cb7,MM - National MIA,RAGON,Andrew Gonzalez,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,CALENDAR,0,25040767,,,4233,4980
EUVF,UNIVISION - AFFILIATE,"Southeast Toyota Distributors, LLC",fcf40c22-c970-448e-a1ce-ae2701b6cc07,2026,6,Adults 35-64,Time Sale - General,C,"C-Com Group, Inc.",bc43ca48-3c8c-4c85-97d9-28152c7d9cb7,MM - National MIA,RAGON,Andrew Gonzalez,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,BROADCAST,0,25040768,,,2499,2940
EUVF,UNIVISION - AFFILIATE,"Southeast Toyota Distributors, LLC",fcf40c22-c970-448e-a1ce-ae2701b6cc07,2026,6,Adults 35-64,Time Sale - General,C,"C-Com Group, Inc.",bc43ca48-3c8c-4c85-97d9-28152c7d9cb7,MM - National MIA,RAGON,Andrew Gonzalez,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,CALENDAR,0,25040768,,,2499,2940
KINT,UNIVISION - AFFILIATE,Audi Central Region,510d592f-0a15-40c6-9b21-6296e8a800c2,2026,5,Adults 35-64,Time Sale - General,C,PHD USA,2beade9d-8f96-4fd3-80da-7992222e8732,Holding Company - ATL,TTSUT,Terri Sutton,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,BROADCAST,0,25040771,,,2626.5,3090
KINT,UNIVISION - AFFILIATE,Audi Central Region,510d592f-0a15-40c6-9b21-6296e8a800c2,2026,5,Adults 35-64,Time Sale - General,C,PHD USA,2beade9d-8f96-4fd3-80da-7992222e8732,Holding Company - ATL,TTSUT,Terri Sutton,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,CALENDAR,0,25040771,,,2626.5,3090
KSMS,UNIVISION - AFFILIATE,Ford Dealers Association,0559cc81-ef81-4926-899c-e64bdf7a7b28,2026,4,Adults 25-54,Time Sale - General,C,"Zubi Advertising Services, Inc.",97ef8046-fac0-410f-b172-c23c8aa9a9e3,Holding Company - LAX,TLROD,Leticia Rodriguez,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Domestic,,,BROADCAST,0,25040780,,,3425.5,4030
KSMS,UNIVISION - AFFILIATE,Ford Dealers Association,0559cc81-ef81-4926-899c-e64bdf7a7b28,2026,4,Adults 25-54,Time Sale - General,C,"Zubi Advertising Services, Inc.",97ef8046-fac0-410f-b172-c23c8aa9a9e3,Holding Company - LAX,TLROD,Leticia Rodriguez,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Domestic,,,CALENDAR,0,25040780,,,3425.5,4030
KBNT,UNIVISION - AFFILIATE,ScholarShare Investment Board,6ac3e5b6-4192-415d-9ef4-544f7c2cf329,2026,6,Adults 25-54,Time Sale - General,C,Baru Advertising,2bccdba9-09df-49a6-9800-0ac2f0cd6fc0,MM - National LAX,RSTME,Stephanie Mendoza,Class1,Public Service; Government Spons,,,BROADCAST,0,25040784,,,4475.03,5264.74
KBNT,UNIVISION - AFFILIATE,ScholarShare Investment Board,6ac3e5b6-4192-415d-9ef4-544f7c2cf329,2026,6,Adults 25-54,Time Sale - General,C,Baru Advertising,2bccdba9-09df-49a6-9800-0ac2f0cd6fc0,MM - National LAX,RSTME,Stephanie Mendoza,Class1,Public Service; Government Spons,,,CALENDAR,0,25040784,,,4475.03,5264.74
KBNT,UNIVISION - AFFILIATE,ScholarShare Investment Board,6ac3e5b6-4192-415d-9ef4-544f7c2cf329,2026,9,Adults 25-54,Time Sale - General,C,Baru Advertising,2bccdba9-09df-49a6-9800-0ac2f0cd6fc0,MM - National LAX,RSTME,Stephanie Mendoza,Class1,Public Service; Government Spons,,,BROADCAST,0,25040784,,,3250.03,3823.56
KBNT,UNIVISION - AFFILIATE,ScholarShare Investment Board,6ac3e5b6-4192-415d-9ef4-544f7c2cf329,2026,9,Adults 25-54,Time Sale - General,C,Baru Advertising,2bccdba9-09df-49a6-9800-0ac2f0cd6fc0,MM - National LAX,RSTME,Stephanie Mendoza,Class1,Public Service; Government Spons,,,CALENDAR,0,25040784,,,3250.03,3823.56
KLDO,UNIVISION - AFFILIATE,Texas Dairy Queen Operators Council,6ff37293-f581-4e3a-8770-0fe7d07abd69,2026,6,Households,Time Sale - General,C,"Loomis Agency, LLC",2ecc4926-3b98-4dd1-a9d3-7ab63f76e922,MM - National DFW,RKPER,Karina Perez,Restaurants - Quick Serve,Fast Food,,,BROADCAST,0,25040785,,,1468.8,1728
KLDO,UNIVISION - AFFILIATE,Texas Dairy Queen Operators Council,6ff37293-f581-4e3a-8770-0fe7d07abd69,2026,6,Households,Time Sale - General,C,"Loomis Agency, LLC",2ecc4926-3b98-4dd1-a9d3-7ab63f76e922,MM - National DFW,RKPER,Karina Perez,Restaurants - Quick Serve,Fast Food,,,CALENDAR,0,25040785,,,1468.8,1728
